title,views_on_vd,time_in_minutes
'F*** off': Brian Cox reveals origin of 'Succession' character's catchphrase,46000.0,4320
AI expert reveals his 'single greatest fear' about the technology,269000.0,4320
Putin makes surprise visit to key city in Ukraine devastated by Russia,311000.0,4320
Veterinarian on what pets can teach us about mortality,31000.0,4320
Bolton reacts to Trump's post that he expects to be arrested,913000.0,4320
What international repercussions will Putin face after arrest warrant?,660000.0,4320
Watergate lawyer disagrees with CNN legal analyst on Trump hush money case,351000.0,4320
Irvo Otieno's family reacts to seeing tape of fatal incident: He was treated worse than a dog,145000.0,4320
Peter Thiel’s role in SVB collapse under scrutiny,61000.0,4320
Ex-Trump lawyer believes Trump indictment is imminent,167000.0,4320
Hear what Michael Cohen said after testifying against Trump,107000.0,4320
Trump-aligned PAC demands investigation into DeSantis’ political activity,65000.0,4320
A blob twice the width of the US is heading towards Florida's coast,1700000.0,4320
Legendary coach talks one-on-one with CNN’s Poppy Harlow,14000.0,4320
"CNN Poll: Trump, DeSantis leading GOP 2024 election polls",54000.0,4320
Hear former defense secretary’s advice on Russian jet incident,419000.0,4320
Russian fighter jet forces down US drone over Black Sea after intercept,1300000.0,4320
See how much Anderson Cooper knows about March Madness,25000.0,4320
Hear from author who had 20 of her books banned in Florida school district,114000.0,4320
CNN follows migrants illegally entering Canada from New York road,3400000.0,4320
See which former Trump official is reaching out to other campaigns ahead of 2024,127000.0,4320
Here's how Silicon Valley Bank collapsed in 48 hours,524000.0,4320
Expert advises all depositors to get their money out of collapsed bank,325000.0,4320
"Planes, Trains & Big Mistakes",15000.0,4320
Aid worker talks about experience in earthquake zone,12000.0,4320
Ex-US Treasury official weighs in on Silicon Valley Bank failure,157000.0,4320
DeSantis makes subtle jab at Trump as he signals 2024 run,68000.0,4320
SVB collapse is second-largest bank failure in US history,505000.0,4320
"‘Very, very strong job market’: February jobs report released",42000.0,4320
‘Trump fatigue’ has set in among some Iowa Republicans,163000.0,4320
Tiger Woods faces legal complaints from ex-girlfriend,93000.0,4320
Kevin McCarthy gets combative after CNN reporter's question,673000.0,4320
Hear what ex-Fox commentator thinks about Tucker Carlson's Trump texts,520000.0,4320
CNN reporter calls his parents using an AI deepfake voice. Watch what happens next,92000.0,4320
Analyst breaks down FBI’s warning TikTok could be dangerous tool for China,52000.0,4320
SE Cupp: The Republican we need isn't running for president,76000.0,4320
Elon Musk publicly criticizes Twitter employee with a disability,93000.0,4320
Never-before-seen images of Putin's lavish home and reputed girlfriend,1000000.0,4320
CNN shows how Tucker Carlson attempted to 'sanitize' new Jan. 6 footage,404000.0,4320
Man arrested after allegedly attempting to stab flight attendant and open emergency door on plane,103000.0,4320
Jill Biden reacts to Nikki Haley's calls for presidential competency test,69000.0,4320
Why Jackson mayor likens bill considered by state senate to ‘apartheid’,31000.0,4320
Larry Summers: US economy could hit an 'air pocket' in the coming months,48000.0,4320
"18 months into Taliban's rule, Afghans are facing dire poverty every single day",35000.0,4320
Hear ex-Trump White House press secretary's warning about Trump,300000.0,4320
Ex-GOP governor calls Trump's vow at CPAC 'troubling',379000.0,4320
'I am your retribution': Trump makes speech at CPAC,260000.0,4320
Family friend was shocked to see this girl speaking at Putin's rally,671000.0,4320
Hear DeSantis appointee's anti-gay comments,66000.0,4320
Video shows critical Bakhmut supply bridge destroyed by Russian forces,314000.0,4320
This US state will restrict drag shows. Hear drag performer's reaction,36000.0,4320
"'When Dylan died, I died': Mother of journalist killed on the job speaks to CNN",19000.0,4320
South Carolina attorney general speaks after Murdaugh guilty verdict,33000.0,4320
"Hollywood’s Ozempic craze, a real-life ‘Succession’ drama, and the downfall of HQ Trivia",25000.0,4320
Top Russian and US officials have rare talk. Hear what happened,580000.0,4320
See Marjorie Taylor Greene's reaction when GOP election official corrects her lies,1700000.0,4320
Paul Ryan grilled over position on Fox board of directors,218000.0,4320
Why a retired major is calling for Ukraine to retreat from contested city,112000.0,4320
'Extremely threatening case': First amendment atty on Dominion lawsuit against Fox News,179000.0,4320
Bill Maher on wokeness and why having an older president isn’t a bad thing,1500000.0,4320
Conservative Supreme Court justices are skeptical of Biden's student debt relief plan. Here's why,28000.0,4320
Analyst reacts to Putin admitting military 'losses' during speech,345000.0,5760
Breaking Up (and Making Up) with Your Phone,19000.0,5760
Murdaugh's brother details what he saw cleaning up the murder scene,36000.0,5760
China not happy with US Energy Dept. report on Covid-19 origin,82000.0,5760
First lady did not hesitate when asked about Biden's reelection bid,38000.0,5760
US says it has intelligence that China is considering backing Russia in Ukraine,702000.0,5760
National security adviser warns China about sending weapons to Russia,223000.0,5760
See Ukrainian photographer's personal camera roll from the last year,27000.0,5760
Pollster reveals how Russians are feeling about their economy,312000.0,5760
Historian predicts how Russia's war in Ukraine could end,2100000.0,5760
Hear Chinese warning to US plane in midair over South China sea,5900000.0,5760
US cracks down on those aiding Russia's war,566000.0,5760
‘Russia has already lost’: US officials lay out state of Putin’s invasion,970000.0,5760
Orange County sheriff says motive in Florida shooting spree is 'unclear',34000.0,5760
CNN reporter notes interesting defense tactic in Alex Murdaugh murder trial,55000.0,5760
Black students receive racist drawings at California elementary school,29000.0,5760
DeSantis receives 7-figure checks from top GOP donors,85000.0,5760
