title,views_on_vd,time_in_minutes
Beer bottle vs can? A beer expert settles the debate,84K,2880
New video shows Derek Chauvin use of excessive force years before George Floyd's death,72K,2880
Bill Barr identifies the most threatening case to Trump,242K,2880
They were kidnapped by Mexican cartel. Listen to what cartel members told them,282K,2880
See moment FBI arrests suspect behind Pentagon leak,729K,2880
Russia introduces new rule to help draft more citizens into military,264K,4320
Kentucky Gov. on Louisville bank gunman: ‘This person murdered my friend’,27K,4320
Hear 911 call from Louisville bank shooter’s mother,71K,4320
Lawmaker who's a single mom reveals shocking advice she received,271K,4320
Ex-prosecutor weighs in on Manhattan DA's lawsuit against GOP congressman,366K,4320
'I'm weary': Louisville doctor reacts to treating mass shooting victims,75K,4320
See SWAT team raid Louisville gunman's home,86K,4320
Ex-intelligence chief Clapper weighs in on leaked Pentagon documents,81K,4320
Aerial footage shows aftermath of Louisville shooting,136K,4320
How some GOP politicians responded to Trump’s arrest,177K,4320
Clarence Thomas defends lavish vacations. Hear AOC's response,510K,4320
A Former Prosecutor on the Novel Case Against Donald Trump,31K,4320
'Flabbergasted': Doctor reacts to judge's controversial ruling,153K,4320
Oklahoma files motion to vacate death row inmate Richard Glossip's conviction,77K,4320
Federal judge suspends FDA approval of abortion pill,131K,4320
‘Another weight on the scale’ towards recession: Dimon on recent banking turmoil,65K,4320
Russia expert: China can’t stop Putin’s ‘tunnel vision’ in Ukraine,162K,4320
Judge overseeing Trump case has donated to Biden campaign. Here's what it could mean,149K,4320
See the moment Tennessee GOP House members expel Democratic Rep.,111K,4320
Why top AI leaders are calling for a pause,43K,4320
Holding Space for Therapy Speak,4.2K,4320
Journalist arrested by KGB during Cold War weighs in on detained WSJ reporter,18K,4320
SE Cupp: Why the GOP attack on Democratic lawmakers in Tennessee is so troubling,73K,4320
Reporter who helped uncover hush money payments weighs in on Trump’s charges,156K,4320
What Trump supporters think comes next after his indictment,146K,4320
Trump's attorneys speak after his arraignment,96K,4320
'He's panicking': Former aide weighs in on Trump's social media posts,201K,4320
Experts: Popular Chinese shopping app can spy on users,26K,4320
Trump arrives in New York for his arraignment,127K,4320
Majority of Americans approve of Trump indictment,282K,4320
Why did Finland's PM lose? Reporter explains the key issue voters cared about,346K,4320
James Cameron says one of his movies came from a single image in his dream,61K,4320
See 'Star Wars' legend react to CNN anchor’s Darth Vader impression,103K,4320
Juror from trial involving Gwyneth Paltrow speaks to CNN,50K,4320
Hear how some Republicans are defending Trump amid indictment,129K,4320
SE Cupp: No one should care about GOP outrage over Trump indictment,540K,4320
‘This is a really scary moment for Trump’: Haberman on Manhattan indictment,270K,4320
Hear Pence react to Trump’s indictment,471K,4320
Manhattan grand jury has voted to indict Donald Trump,416K,4320
‘The gloves are off’: American reporter arrested in Russia on spying charges,101K,4320
See heated gun control discussion between lawmakers in the halls of Congress,71K,4320
Why a Disney movie about Ruby Bridges is under review by a Florida school district,60K,4320
Watch tense exchange between Sanders and GOP senator during hearing,148K,4320
Hear from former teammate of Nashville shooter,221K,4320
"Dominion wants Fox hosts, including Tucker Carlson and Sean Hannity, to testify",261K,4320
Hear GOP lawmakers speak on gun laws after Nashville shooting,183K,4320
Nashville police release security footage in school shooting,43K,4320
Ex-Trump official reacts to his Waco rally remarks: Intent was 'extremely clear',261K,4320
Hear what Trump supporters think will happen if Trump is indicted,90K,4320
Belarus opposition leader responds to Putin’s nuclear threat,844K,4320
Daniel Dale fact checks false claims Donald Trump made at Waco rally,230K,4320
Zakaria identifies key part of Putin-Xi meeting you may have missed,405K,4320
"Mexico, Beyond the Border with Eva Longoria",28K,4320
Hear what ex-FBI official thought about Trump's posts attacking Manhattan DA,604K,4320
See what Gwyneth Paltrow said on the stand,76K,4320
The latest on the criminal investigation into Trump's alleged efforts to overturn the 2020 election,378K,4320
Trump warns of death and destruction if he's charged,342K,4320
US launches retaliatory airstrike after deadly drone attack in Syria,970K,4320
Trump case witness speaks out about his grand jury testimony,63K,4320
Retired colonel weighs in on Russia’s internal politics,152K,4320
DA’s office slams GOP’s inquiry into Trump probe,266K,4320
Supreme Court justice draws laughs during hearing on Jack Daniel's trademark infringement,158K,4320
Warren: Powell is a 'dangerous man to have in this job',158K,4320
Student describes scene at Denver school shooting,158K,4320
The New State of Unions,933,4320
Trump is allegedly anticipating this element of possibly being arrested,157K,4320
Gwyneth Paltrow in court as trial over ski collision begins,51K,4320
George Conway reacts to Trump's possible indictment,529K,4320
Russian soldiers emerge from forest after couple makes wrong turn on their drive,2M,4320
Pediatricians Caught in a Political Crossfire,2.1K,4320
'Ted Lasso' star takes question from a 'familiar face' at White House press briefing,222K,4320
